City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,cacule,-14.5033,-42.2222,31.59,28,10,3.95,BR,1680103798
323,marystown,47.1666,-55.1483,3.25,100,98,3.58,CA,1680103798
324,bereda,43.2686,-7.5406,22.86,27,67,5.52,ES,1680103798
325,carbonear,47.7332,-53.2148,2.86,77,90,6.28,CA,1680103799
326,boysun,38.2061,67.1986,15.72,56,100,1.4,UZ,1680103799
327,bad berleburg,51.05,8.4,12.98,81,100,3.0,DE,1680103799
328,mitsamiouli,-11.3847,43.2844,28.27,73,100,2.34,KM,1680103799
329,mandera,3.9366,41.867,33.77,39,31,1.4,KE,1680103800
330,vardo,70.3705,31.1107,-0.01,69,75,9.77,NO,1680103800
331,coxim,-18.5067,-54.76,31.85,56,15,2.74,BR,1680103802
332,plainview,40.7765,-73.4673,10.45,42,0,3.09,US,1680103375
333,gao,16.6362,1.637,35.95,3,51,7.14,ML,1680103805
334,oudtshoorn,-33.5907,22.2014,15.2,51,85,5.22,ZA,1680103807
335,ilulissat,69.2167,-51.1,-12.99,56,0,0.51,GL,1680103694
336,westport,41.1415,-73.3579,10.49,36,0,2.68,US,1680103349
337,verkh-usugli,52.7,115.1667,-3.7,93,68,1.59,RU,1680103813
338,bathsheba,13.2167,-59.5167,29.34,54,20,10.8,BB,1680103814
339,lagoa,39.05,-27.9833,15.04,78,97,12.62,PT,1680103691
340,teguldet,57.3064,88.1667,0.05,95,100,5.31,RU,1680103819
341,kavieng,-2.5744,150.7967,27.29,74,100,0.65,PG,1680103820
342,faya,18.3851,42.4509,21.06,47,12,3.17,SA,1680103822
343,paita,-5.0892,-81.1144,26.73,75,100,2.07,PE,1680103823
344,neuquen,-38.9516,-68.0591,16.94,31,0,3.6,AR,1680103824
345,flinders,-34.5833,150.8552,17.32,78,3,1.34,AU,1680103824
346,luba,3.4568,8.5547,27.95,76,94,2.86,GQ,1680103825
347,maltahohe,-24.8333,16.9833,28.58,9,0,8.89,NA,1680103828
348,kapra,17.4846,78.561,28.9,58,40,3.09,IN,1680103828
349,kwinana,-32.25,115.7667,24.34,38,100,0.89,AU,1680103829
350,makakilo city,21.3469,-158.0858,24.2,81,100,6.17,US,1680103778
351,estacion coahuila,32.1939,-115.0017,18.54,26,3,2.13,MX,1680103831
352,nushki,29.5542,66.0215,16.52,60,94,1.52,PK,1680103832
353,rocha,-34.4833,-54.3333,29.02,37,0,5.05,UY,1680103832
354,road town,18.4167,-64.6167,29.05,61,20,5.14,VG,1680103666
355,cap malheureux,-19.9842,57.6142,26.37,74,78,1.34,MU,1680103737
356,gisborne,-38.6533,178.0042,9.41,69,27,5.51,NZ,1680103838
357,abu kamal,34.4506,40.9171,22.86,27,0,10.04,SY,1680103840
358,tayu,-6.5397,111.0518,25.31,91,97,2.45,ID,1680103842
359,les cayes,18.2,-73.75,28.62,59,5,4.44,HT,1680103843
360,dergachi,51.2328,48.7659,11.71,69,100,4.44,RU,1680103844
361,ust-maya,60.4167,134.5333,-8.73,98,97,1.36,RU,1680103844
362,huarmey,-10.0681,-78.1522,27.36,68,65,3.94,PE,1680103844
363,brae,60.3964,-1.353,5.93,81,100,10.68,GB,1680103706
